"Interface";"SNR";"Upstream Freq";"Upstream Modulacao";"Channel Width";"power level";"online";"offline";"total";"Frequencia de Downstream"
" Cable3/1";"0";"";"";"";"";"";"0";"";""
" Cable6/0-upstream4";"25.1";"34000000";"";"3200000";"";"43";"7";"50";""
" Cable4/0-upstream3";"28.8";"38000000";"";"3200000";"";"12";"3";"15";""
" GigabitEthernet0/2";"0";"";"";"";"";"";"0";"";""
" Cable3/0-upstream1";"0";"40000000";"";"3200000";"";"0";"0";"0";""
" Cable5/1-upstream2";"21.7";"38000000";"";"3200000";"";"4";"2";"6";""
" Cable6/0-upstream1";"25.1";"38000000";"";"3200000";"";"18";"5";"23";""
" Cable3/1-upstream1";"28.6";"42000000";"";"3200000";"";"32";"10";"42";""
" Cable4/1-upstream2";"30.8";"42000000";"";"3200000";"";"14";"3";"17";""
" Cable5/1-downstream";"0";"";"";"";"";"";"0";"";"393000000"
" Cable6/0-upstream5";"0";"0";"";"1600000";"";"0";"0";"0";""
" Cable4/0-upstream1";"34.8";"34000000";"";"3200000";"";"21";"2";"23";""
" Cable6/0-upstream2";"0";"34000000";"";"3200000";"";"0";"0";"0";""
" Cable3/0-downstream";"0";"";"";"";"";"";"0";"";"441000000"
" Cable6/0";"0";"";"";"";"";"";"0";"";""
" Cable6/0-upstream0";"0";"38000000";"";"3200000";"";"0";"0";"0";""
" Cable5/1-upstream3";"28.4";"42000000";"";"3200000";"";"21";"6";"27";""
" Cable5/0";"0";"";"";"";"";"";"0";"";""
" Cable3/1-upstream2";"30";"34000000";"";"3200000";"";"15";"1";"16";""
" Virtual-Access1";"0";"";"";"";"";"";"0";"";""
" GigabitEthernet0/1";"0";"";"";"";"";"";"0";"";""
" Cable5/1-upstream1";"28.5";"38000000";"";"3200000";"";"35";"4";"39";""
" Cable5/1-upstream0";"0";"34000000";"";"3200000";"";"0";"0";"0";""
" Cable3/1-downstream";"0";"";"";"";"";"";"0";"";"429000000"
" Cable4/1";"0";"";"";"";"";"";"0";"";""
" Cable4/0-upstream2";"30.6";"38000000";"";"3200000";"";"27";"10";"37";""
" Cable5/0-downstream";"0";"";"";"";"";"";"0";"";"417000000"
" Cable4/0";"0";"";"";"";"";"";"0";"";""
" Cable4/1-downstream";"0";"";"";"";"";"";"0";"";"417000000"
" Cable5/0-upstream0";"28";"42000000";"";"3200000";"";"14";"1";"15";""
" GigabitEthernet0/3";"0";"";"";"";"";"";"0";"";""
" Cable4/0-upstream0";"36.1";"42000000";"";"3200000";"";"21";"5";"26";""
" Cable6/0-upstream3";"0";"30000000";"";"3200000";"";"0";"0";"0";""
" Cable5/1";"0";"";"";"";"";"";"0";"";""
" Cable3/0-upstream3";"0";"38000000";"";"3200000";"";"0";"0";"0";""
" Cable5/0-upstream2";"0";"34000000";"";"3200000";"";"0";"0";"0";""
" Cable4/1-upstream3";"30.4";"38000000";"";"3200000";"";"13";"4";"17";""
" Cable4/1-upstream0";"0";"38000000";"";"3200000";"";"0";"0";"0";""
" Cable5/0-upstream3";"29.4";"38000000";"";"3200000";"";"48";"8";"56";""
" Cable3/1-upstream3";"0";"39000000";"";"3200000";"";"0";"0";"0";""
" Cable4/1-upstream1";"31.4";"38000000";"";"3200000";"";"68";"12";"80";""
" Cable3/0-upstream0";"34.1";"42000000";"";"3200000";"";"48";"9";"57";""
" Null0";"0";"";"";"";"";"";"0";"";""
" Cable4/0-downstream";"0";"";"";"";"";"";"0";"";"429000000"
" Cable3/1-upstream0";"35.7";"38000000";"";"3200000";"";"11";"5";"16";""
" Cable3/0";"0";"";"";"";"";"";"0";"";""
" Cable5/0-upstream1";"29.7";"34000000";"";"3200000";"";"36";"12";"48";""
" Cable3/0-upstream2";"29.8";"42000000";"";"3200000";"";"31";"5";"36";""
" Cable6/0-downstream";"0";"";"";"";"";"";"0";"";"0"
